"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Barbell Squat",2012-10-06,9,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2012-10-08,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-10-08,2,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2012-10-08,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-10-08,4,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2012-10-08,5,45,,1,,"45 lb || 1 reps","19"
"Barbell Squat",2012-10-08,6,45,,1,,"45 lb || 1 reps","19"
"Barbell Squat",2012-10-08,7,45,,1,,"45 lb || 1 reps","19"
"Barbell Squat",2012-10-09,401,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-10-09,402,45,,3,,"45 lb || 3 reps","28"
"Barbell Squat",2012-10-09,403,45,,3,,"45 lb || 3 reps","28"
"Barbell Squat",2012-10-10,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-10-10,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-10-10,3,45,,3,,"45 lb || 3 reps","28"
"Barbell Squat",2012-10-10,4,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2012-10-10,5,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-10-10,6,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2012-10-10,7,225,,2,,"225 lb || 2 reps","82"
"Barbell Squat",2012-10-10,8,245,,3,,"245 lb || 3 reps","111"
"Barbell Squat",2012-10-30,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-10-30,2,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2012-10-30,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-10-30,4,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2012-10-30,5,205,,5,,"205 lb || 5 reps","105"
"Barbell Squat",2012-10-30,6,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2012-11-05,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-11-05,2,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2012-11-05,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-11-05,4,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2012-11-05,5,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2012-11-07,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-11-07,2,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2012-11-07,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-11-07,4,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2012-11-07,5,235,,5,,"235 lb || 5 reps","129"
"Barbell Squat",2012-11-13,1,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2012-11-13,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-11-13,3,155,,5,,"155 lb || 5 reps","75"
"Barbell Squat",2012-11-13,4,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2012-11-13,5,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2012-11-13,6,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2012-11-14,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-11-14,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-11-14,3,175,,5,,"175 lb || 5 reps","86"
"Barbell Squat",2012-11-14,4,205,,5,,"205 lb || 5 reps","105"
"Barbell Squat",2012-11-14,5,245,,3,,"245 lb || 3 reps","111"
"Barbell Squat",2012-11-14,6,175,,8,,"175 lb || 8 reps","98"
"Barbell Squat",2012-11-15,301,45,,7,,"45 lb || 7 reps","39"
"Barbell Squat",2012-11-15,302,45,,3,,"45 lb || 3 reps","28"
"Barbell Squat",2012-11-16,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-11-16,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-11-16,3,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2012-11-16,4,215,,5,,"215 lb || 5 reps","113"
"Barbell Squat",2012-11-16,5,245,,5,,"245 lb || 5 reps","138"
"Barbell Squat",2012-11-20,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-11-20,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-11-20,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-11-20,4,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2012-11-20,5,215,,5,,"215 lb || 5 reps","113"
"Barbell Squat",2012-11-20,6,250,,3,,"250 lb || 3 reps","115"
"Barbell Squat",2012-11-20,7,185,,8,,"185 lb || 8 reps","105"
"Barbell Squat",2012-11-23,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-11-23,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-11-23,3,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2012-11-23,4,215,,5,,"215 lb || 5 reps","113"
"Barbell Squat",2012-11-23,5,250,,5,,"250 lb || 5 reps","143"
"Barbell Squat",2012-11-23,501,,,5,,"5 reps","26"
"Barbell Squat",2012-11-23,502,,,5,,"5 reps","26"
"Barbell Squat",2012-11-23,503,,,5,,"5 reps","26"
"Barbell Squat",2012-11-27,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-11-27,2,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2012-11-27,3,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2012-11-27,4,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2012-11-27,5,255,,3,,"255 lb || 3 reps","119"
"Barbell Squat",2012-11-27,6,185,,8,,"185 lb || 8 reps","105"
"Barbell Squat",2012-11-28,301,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2012-11-28,302,65,,5,,"65 lb || 5 reps","41"
"Barbell Squat",2012-11-29,1,45,,5,,"45 lb || 5 reps","36"
