"Activity","Date (YYYYMMDD)","Set",,"unit",,"unit","Combined","Points"
"Barbell Squat",2014-08-20,10,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-08-26,5,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-08-26,6,65,,5,,"65 lb || 5 reps","41"
"Barbell Squat",2014-08-26,7,85,,5,,"85 lb || 5 reps","47"
"Barbell Squat",2014-08-26,8,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2014-08-26,9,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-08-26,10,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-08-31,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-08-31,3,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2014-08-31,4,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-08-31,5,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2014-08-31,6,225,,3,,"225 lb || 3 reps","97"
"Barbell Squat",2014-08-31,7,255,,3,,"255 lb || 3 reps","119"
"Barbell Squat",2014-08-31,8,275,,1,,"275 lb || 1 reps","93"
"Barbell Squat",2014-08-31,9,295,,1,,"295 lb || 1 reps","106"
"Barbell Squat",2014-08-31,10,305,,1,,"305 lb || 1 reps","113"
"Barbell Squat",2014-09-04,3,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-09-04,4,65,,5,,"65 lb || 5 reps","41"
"Barbell Squat",2014-09-04,5,85,,5,,"85 lb || 5 reps","47"
"Barbell Squat",2014-09-04,6,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2014-09-06,10,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-09-06,11,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2014-09-06,12,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-09-06,13,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-09-06,14,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-09-06,15,255,,3,,"255 lb || 3 reps","119"
"Barbell Squat",2014-09-06,16,255,,3,,"255 lb || 3 reps","119"
"Barbell Squat",2014-09-06,17,255,,3,,"255 lb || 3 reps","119"
"Barbell Squat",2014-09-08,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-09-08,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-09-08,3,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2014-09-08,4,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-09-08,5,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-09-08,6,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-09-11,4,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-09-11,5,65,,5,,"65 lb || 5 reps","41"
"Barbell Squat",2014-09-11,6,85,,5,,"85 lb || 5 reps","47"
"Barbell Squat",2014-09-16,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-09-16,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-09-16,3,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-09-16,4,75,,5,,"75 lb || 5 reps","44"
"Barbell Squat",2014-09-16,5,100,,5,,"100 lb || 5 reps","52"
"Barbell Squat",2014-09-16,6,125,,3,,"125 lb || 3 reps","49"
"Barbell Squat",2014-09-16,7,175,,2,,"175 lb || 2 reps","58"
"Barbell Squat",2014-09-16,8,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-09-16,9,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-09-16,10,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-09-21,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-09-21,3,75,,5,,"75 lb || 5 reps","44"
"Barbell Squat",2014-09-21,4,105,,5,,"105 lb || 5 reps","54"
"Barbell Squat",2014-09-21,5,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-09-21,6,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2014-09-21,7,235,,5,,"235 lb || 5 reps","129"
"Barbell Squat",2014-09-21,8,235,,5,,"235 lb || 5 reps","129"
"Barbell Squat",2014-09-21,9,235,,5,,"235 lb || 5 reps","129"
"Barbell Squat",2014-09-23,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-09-23,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-09-23,3,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-09-23,4,55,,5,,"55 lb || 5 reps","38"
"Barbell Squat",2014-09-23,5,55,,5,,"55 lb || 5 reps","38"
"Barbell Squat",2014-09-23,6,85,,5,,"85 lb || 5 reps","47"
"Barbell Squat",2014-09-23,7,115,,5,,"115 lb || 5 reps","57"
"Barbell Squat",2014-09-23,8,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2014-09-23,9,205,,2,,"205 lb || 2 reps","71"
"Barbell Squat",2014-09-23,10,255,,5,,"255 lb || 5 reps","148"
"Barbell Squat",2014-09-29,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-09-29,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-09-29,3,55,,5,,"55 lb || 5 reps","38"
"Barbell Squat",2014-09-29,4,85,,5,,"85 lb || 5 reps","47"
"Barbell Squat",2014-09-29,5,115,,5,,"115 lb || 5 reps","57"
"Barbell Squat",2014-09-29,6,145,,3,,"145 lb || 3 reps","56"
"Barbell Squat",2014-09-29,7,195,,2,,"195 lb || 2 reps","67"
"Barbell Squat",2014-09-29,8,240,,5,,"240 lb || 5 reps","134"
"Barbell Squat",2014-09-29,9,240,,5,,"240 lb || 5 reps","134"
"Barbell Squat",2014-09-29,10,240,,5,,"240 lb || 5 reps","134"
"Barbell Squat",2014-10-07,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-10-07,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-10-07,3,55,,5,,"55 lb || 5 reps","38"
"Barbell Squat",2014-10-07,4,75,,5,,"75 lb || 5 reps","44"
"Barbell Squat",2014-10-07,5,105,,5,,"105 lb || 5 reps","54"
"Barbell Squat",2014-10-07,6,135,,3,,"135 lb || 3 reps","53"
"Barbell Squat",2014-10-07,7,195,,2,,"195 lb || 2 reps","67"
"Barbell Squat",2014-10-07,8,245,,5,,"245 lb || 5 reps","138"
"Barbell Squat",2014-10-07,9,245,,5,,"245 lb || 5 reps","138"
"Barbell Squat",2014-10-07,10,245,,5,,"245 lb || 5 reps","138"
"Barbell Squat",2014-10-14,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-10-14,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-10-14,3,55,,5,,"55 lb || 5 reps","38"
"Barbell Squat",2014-10-14,4,75,,5,,"75 lb || 5 reps","44"
"Barbell Squat",2014-10-14,5,100,,5,,"100 lb || 5 reps","52"
"Barbell Squat",2014-10-14,6,145,,3,,"145 lb || 3 reps","56"
"Barbell Squat",2014-10-14,7,195,,2,,"195 lb || 2 reps","67"
"Barbell Squat",2014-10-14,8,250,,5,,"250 lb || 5 reps","143"
"Barbell Squat",2014-10-14,9,250,,5,,"250 lb || 5 reps","143"
"Barbell Squat",2014-10-14,10,250,,5,,"250 lb || 5 reps","143"
"Barbell Squat",2014-10-21,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-10-21,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-10-21,3,55,,5,,"55 lb || 5 reps","38"
"Barbell Squat",2014-10-21,4,85,,5,,"85 lb || 5 reps","47"
"Barbell Squat",2014-10-21,5,115,,5,,"115 lb || 5 reps","57"
"Barbell Squat",2014-10-21,6,165,,3,,"165 lb || 3 reps","64"
"Barbell Squat",2014-10-21,7,225,,2,,"225 lb || 2 reps","82"
"Barbell Squat",2014-10-21,8,275,,5,,"275 lb || 5 reps","169"
"Barbell Squat",2014-10-27,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-10-27,3,55,,5,,"55 lb || 5 reps","38"
"Barbell Squat",2014-10-27,4,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-10-27,5,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-10-27,6,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2014-10-31,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-10-31,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-10-31,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-10-31,4,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2014-10-31,5,225,,2,,"225 lb || 2 reps","82"
"Barbell Squat",2014-10-31,6,280,,5,,"280 lb || 5 reps","175"
"Barbell Squat",2014-11-03,13,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-11-03,14,55,,5,,"55 lb || 5 reps","38"
"Barbell Squat",2014-11-03,15,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-11-03,16,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2014-11-03,17,205,,2,,"205 lb || 2 reps","71"
"Barbell Squat",2014-11-03,18,255,,5,,"255 lb || 5 reps","148"
"Barbell Squat",2014-11-03,19,255,,5,,"255 lb || 5 reps","148"
"Barbell Squat",2014-11-03,20,255,,5,,"255 lb || 5 reps","148"
"Barbell Squat",2014-11-09,4,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-11-09,5,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-11-09,6,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-11-09,7,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2014-11-09,8,205,,2,,"205 lb || 2 reps","71"
"Barbell Squat",2014-11-09,9,260,,5,,"260 lb || 5 reps","153"
"Barbell Squat",2014-11-09,10,260,,5,,"260 lb || 5 reps","153"
"Barbell Squat",2014-11-09,11,260,,5,,"260 lb || 5 reps","153"
"Barbell Squat",2014-11-15,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-11-15,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-11-15,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-11-15,4,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2014-11-15,5,215,,2,,"215 lb || 2 reps","76"
"Barbell Squat",2014-11-15,6,265,,5,,"265 lb || 5 reps","158"
"Barbell Squat",2014-11-15,7,265,,5,,"265 lb || 5 reps","158"
"Barbell Squat",2014-11-15,8,265,,5,,"265 lb || 5 reps","158"
"Barbell Squat",2014-11-18,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-11-18,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-11-18,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2014-11-18,4,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2014-11-18,5,225,,3,,"225 lb || 3 reps","97"
"Barbell Squat",2014-11-18,6,285,,5,,"285 lb || 5 reps","181"
"Barbell Squat",2014-11-25,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-11-25,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-11-25,3,115,,5,,"115 lb || 5 reps","57"
"Barbell Squat",2014-11-25,4,175,,3,,"175 lb || 3 reps","69"
"Barbell Squat",2014-11-25,5,215,,2,,"215 lb || 2 reps","76"
"Barbell Squat",2014-11-25,6,270,,5,,"270 lb || 5 reps","164"
"Barbell Squat",2014-11-25,7,270,,3,,"270 lb || 3 reps","131"
"Barbell Squat",2014-11-25,8,270,,5,,"270 lb || 5 reps","164"
"Barbell Squat",2014-12-02,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-12-02,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-12-02,3,105,,5,,"105 lb || 5 reps","54"
"Barbell Squat",2014-12-02,4,155,,3,,"155 lb || 3 reps","60"
"Barbell Squat",2014-12-02,5,210,,2,,"210 lb || 2 reps","74"
"Barbell Squat",2014-12-02,6,265,,5,,"265 lb || 5 reps","158"
"Barbell Squat",2014-12-02,7,265,,5,,"265 lb || 5 reps","158"
"Barbell Squat",2014-12-02,8,265,,5,,"265 lb || 5 reps","158"
"Barbell Squat",2014-12-09,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-12-09,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-12-09,3,115,,5,,"115 lb || 5 reps","57"
"Barbell Squat",2014-12-09,4,175,,3,,"175 lb || 3 reps","69"
"Barbell Squat",2014-12-09,5,235,,2,,"235 lb || 2 reps","87"
"Barbell Squat",2014-12-09,6,255,,2,,"255 lb || 2 reps","100"
"Barbell Squat",2014-12-09,7,290,,5,,"290 lb || 5 reps","187"
"Barbell Squat",2014-12-30,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-12-30,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2014-12-30,3,75,,5,,"75 lb || 5 reps","44"
"Barbell Squat",2014-12-30,4,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2014-12-30,5,150,,3,,"150 lb || 3 reps","58"
"Barbell Squat",2014-12-30,6,200,,2,,"200 lb || 2 reps","69"
"Barbell Squat",2014-12-30,7,255,,5,,"255 lb || 5 reps","148"
"Barbell Squat",2014-12-30,8,255,,5,,"255 lb || 5 reps","148"
"Barbell Squat",2014-12-30,9,255,,5,,"255 lb || 5 reps","148"
"Barbell Squat",2015-01-06,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2015-01-06,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2015-01-06,3,75,,5,,"75 lb || 5 reps","44"
"Barbell Squat",2015-01-06,4,100,,5,,"100 lb || 5 reps","52"
"Barbell Squat",2015-01-06,5,130,,5,,"130 lb || 5 reps","63"
"Barbell Squat",2015-01-06,6,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2015-01-06,7,225,,5,,"225 lb || 5 reps","121"
"Barbell Squat",2015-01-22,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2015-01-22,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2015-01-22,3,75,,5,,"75 lb || 5 reps","44"
"Barbell Squat",2015-01-22,4,100,,5,,"100 lb || 5 reps","52"
"Barbell Squat",2015-01-22,5,125,,5,,"125 lb || 5 reps","61"
"Barbell Squat",2015-01-22,6,125,,5,,"125 lb || 5 reps","61"
"Barbell Squat",2015-01-22,7,125,,5,,"125 lb || 5 reps","61"
"Barbell Squat",2015-01-22,8,125,,5,,"125 lb || 5 reps","61"
"Barbell Squat",2015-01-22,9,125,,5,,"125 lb || 5 reps","61"
"Barbell Squat",2015-01-31,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2015-01-31,2,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2015-01-31,3,135,,3,,"135 lb || 3 reps","53"
"Barbell Squat",2015-01-31,4,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2015-01-31,5,205,,5,,"205 lb || 5 reps","105"
"Barbell Squat",2015-01-31,6,235,,5,,"235 lb || 5 reps","129"
"Barbell Squat",2015-02-04,23,45,,3,,"45 lb || 3 reps","28"
"Barbell Squat",2015-02-04,24,45,,3,,"45 lb || 3 reps","28"
"Barbell Squat",2015-02-04,25,45,,3,,"45 lb || 3 reps","28"
"Barbell Squat",2015-02-04,26,45,,3,,"45 lb || 3 reps","28"
"Barbell Squat",2015-02-04,27,45,,3,,"45 lb || 3 reps","28"
"Barbell Squat",2015-02-07,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2015-02-07,3,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2015-02-07,4,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2015-02-07,5,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2015-02-07,6,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2015-02-07,7,225,,3,,"225 lb || 3 reps","97"
"Barbell Squat",2015-02-07,8,245,,5,,"245 lb || 5 reps","138"
"Barbell Squat",2015-03-01,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2015-03-01,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2015-03-01,3,55,,5,,"55 lb || 5 reps","38"
"Barbell Squat",2015-03-01,4,85,,5,,"85 lb || 5 reps","47"
"Barbell Squat",2015-03-01,5,115,,5,,"115 lb || 5 reps","57"
"Barbell Squat",2015-03-01,6,145,,5,,"145 lb || 5 reps","70"
"Barbell Squat",2015-03-01,7,145,,5,,"145 lb || 5 reps","70"
"Barbell Squat",2015-03-01,8,145,,5,,"145 lb || 5 reps","70"
"Barbell Squat",2015-03-02,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2015-03-02,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2015-03-02,3,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2015-03-04,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2015-03-04,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2015-03-04,3,55,,5,,"55 lb || 5 reps","38"
"Barbell Squat",2015-03-04,4,85,,5,,"85 lb || 5 reps","47"
"Barbell Squat",2015-03-04,5,115,,5,,"115 lb || 5 reps","57"
"Barbell Squat",2015-03-04,6,145,,5,,"145 lb || 5 reps","70"
"Barbell Squat",2015-03-04,7,145,,5,,"145 lb || 5 reps","70"
"Barbell Squat",2015-03-04,8,145,,5,,"145 lb || 5 reps","70"
"Barbell Squat",2015-03-23,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2015-03-23,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2015-03-23,3,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2015-03-23,4,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2015-03-23,5,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2015-03-29,11,50,,5,,"50 lb || 5 reps","37"
"Barbell Squat",2015-03-29,12,50,,5,,"50 lb || 5 reps","37"
"Barbell Squat",2015-03-29,13,50,,5,,"50 lb || 5 reps","37"
"Barbell Squat",2015-03-29,14,50,,5,,"50 lb || 5 reps","37"
"Barbell Squat",2015-03-29,15,50,,5,,"50 lb || 5 reps","37"
"Barbell Squat",2015-04-04,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2015-04-04,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2015-04-04,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2015-04-04,4,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2015-04-04,5,225,,2,,"225 lb || 2 reps","82"
"Barbell Squat",2015-04-04,6,275,,1,,"275 lb || 1 reps","93"
"Barbell Squat",2015-04-04,7,295,,1,,"295 lb || 1 reps","106"
"Barbell Squat",2015-05-09,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2015-05-09,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2015-05-09,3,85,,5,,"85 lb || 5 reps","47"
"Barbell Squat",2015-05-09,4,105,,5,,"105 lb || 5 reps","54"
"Barbell Squat",2015-05-09,5,115,,5,,"115 lb || 5 reps","57"
"Barbell Squat",2015-05-09,6,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2015-05-09,7,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2015-05-09,8,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2015-11-29,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2015-11-29,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2015-11-29,3,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2015-11-29,4,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2015-11-29,5,185,,3,,"185 lb || 3 reps","74"
"Barbell Squat",2015-11-29,6,225,,1,,"225 lb || 1 reps","66"
"Barbell Squat",2015-12-05,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2015-12-05,2,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2015-12-05,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2015-12-05,4,155,,5,,"155 lb || 5 reps","75"
"Barbell Squat",2015-12-05,5,175,,5,,"175 lb || 5 reps","86"
"Barbell Squat",2015-12-12,1,45,,3,,"45 lb || 3 reps","28"
"Barbell Squat",2015-12-12,2,95,,3,,"95 lb || 3 reps","40"
"Barbell Squat",2015-12-12,3,135,,3,,"135 lb || 3 reps","53"
"Barbell Squat",2015-12-12,4,155,,3,,"155 lb || 3 reps","60"
"Barbell Squat",2015-12-12,5,185,,5,,"185 lb || 5 reps","92"
"Barbell Squat",2016-02-24,6,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2016-02-24,7,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2016-02-24,8,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2016-02-24,9,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2016-02-24,10,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2016-02-25,6,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2016-02-25,7,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2016-02-25,8,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2016-02-25,9,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2016-02-25,10,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2016-02-27,8,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2016-02-27,9,55,,5,,"55 lb || 5 reps","38"
"Barbell Squat",2016-02-27,10,55,,5,,"55 lb || 5 reps","38"
"Barbell Squat",2016-02-27,11,55,,5,,"55 lb || 5 reps","38"
"Barbell Squat",2016-02-27,12,55,,5,,"55 lb || 5 reps","38"
"Barbell Squat",2016-02-27,13,55,,5,,"55 lb || 5 reps","38"
"Barbell Squat",2016-03-01,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2016-03-01,2,65,,5,,"65 lb || 5 reps","41"
"Barbell Squat",2016-03-01,3,65,,5,,"65 lb || 5 reps","41"
"Barbell Squat",2016-03-01,4,65,,5,,"65 lb || 5 reps","41"
"Barbell Squat",2016-03-01,5,65,,5,,"65 lb || 5 reps","41"
"Barbell Squat",2016-03-01,6,65,,5,,"65 lb || 5 reps","41"
"Barbell Squat",2016-03-07,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2016-03-07,2,75,,5,,"75 lb || 5 reps","44"
"Barbell Squat",2016-03-07,3,75,,5,,"75 lb || 5 reps","44"
"Barbell Squat",2016-03-07,4,75,,5,,"75 lb || 5 reps","44"
"Barbell Squat",2016-03-07,5,75,,5,,"75 lb || 5 reps","44"
"Barbell Squat",2016-03-07,6,75,,5,,"75 lb || 5 reps","44"
"Barbell Squat",2016-03-08,13,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2016-03-08,14,85,,5,,"85 lb || 5 reps","47"
"Barbell Squat",2016-03-08,15,85,,5,,"85 lb || 5 reps","47"
"Barbell Squat",2016-03-08,16,85,,5,,"85 lb || 5 reps","47"
"Barbell Squat",2016-03-08,17,85,,5,,"85 lb || 5 reps","47"
"Barbell Squat",2016-03-12,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2016-03-12,2,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2016-03-12,3,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2016-03-12,4,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2016-03-12,5,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2016-03-12,6,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2016-03-15,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2016-03-15,2,105,,5,,"105 lb || 5 reps","54"
"Barbell Squat",2016-03-15,3,105,,5,,"105 lb || 5 reps","54"
"Barbell Squat",2016-03-15,4,105,,5,,"105 lb || 5 reps","54"
"Barbell Squat",2016-03-15,5,105,,5,,"105 lb || 5 reps","54"
"Barbell Squat",2016-03-15,6,105,,5,,"105 lb || 5 reps","54"
"Barbell Squat",2016-03-18,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2016-03-18,2,115,,5,,"115 lb || 5 reps","57"
"Barbell Squat",2016-03-18,3,115,,5,,"115 lb || 5 reps","57"
"Barbell Squat",2016-03-18,4,115,,5,,"115 lb || 5 reps","57"
"Barbell Squat",2016-03-18,5,115,,5,,"115 lb || 5 reps","57"
"Barbell Squat",2016-03-19,14,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2016-03-19,15,75,,5,,"75 lb || 5 reps","44"
"Barbell Squat",2016-03-19,16,125,,5,,"125 lb || 5 reps","61"
"Barbell Squat",2016-03-19,17,125,,5,,"125 lb || 5 reps","61"
"Barbell Squat",2016-03-19,18,125,,5,,"125 lb || 5 reps","61"
"Barbell Squat",2016-03-19,19,125,,5,,"125 lb || 5 reps","61"
"Barbell Squat",2016-03-19,20,125,,5,,"125 lb || 5 reps","61"
"Barbell Squat",2016-03-22,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2016-03-22,2,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2016-03-22,3,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2016-03-22,4,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2016-03-22,5,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2016-03-22,6,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2016-03-22,7,135,,5,,"135 lb || 5 reps","66"
"Barbell Squat",2016-03-24,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2016-03-24,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2016-03-24,3,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2016-03-24,4,145,,5,,"145 lb || 5 reps","70"
"Barbell Squat",2016-03-24,5,145,,5,,"145 lb || 5 reps","70"
"Barbell Squat",2016-03-24,6,145,,5,,"145 lb || 5 reps","70"
"Barbell Squat",2016-03-24,7,145,,5,,"145 lb || 5 reps","70"
"Barbell Squat",2016-03-24,8,145,,5,,"145 lb || 5 reps","70"
"Barbell Squat",2016-03-26,16,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2016-03-26,17,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2016-03-26,18,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2016-03-26,19,155,,5,,"155 lb || 5 reps","75"
"Barbell Squat",2016-03-26,20,155,,5,,"155 lb || 5 reps","75"
"Barbell Squat",2016-03-26,21,155,,5,,"155 lb || 5 reps","75"
"Barbell Squat",2016-03-26,22,155,,5,,"155 lb || 5 reps","75"
"Barbell Squat",2016-03-26,23,155,,5,,"155 lb || 5 reps","75"
"Barbell Squat",2016-03-29,1,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2016-03-29,2,45,,5,,"45 lb || 5 reps","36"
"Barbell Squat",2016-03-29,3,95,,5,,"95 lb || 5 reps","50"
"Barbell Squat",2016-03-29,4,165,,5,,"165 lb || 5 reps","80"
"Barbell Squat",2016-03-29,5,165,,5,,"165 lb || 5 reps","80"
"Barbell Squat",2016-03-29,6,165,,5,,"165 lb || 5 reps","80"
"Barbell Squat",2016-03-29,7,165,,5,,"165 lb || 5 reps","80"
